airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,25,3956
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,25,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,26,3956
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,26,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,27,5691
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,27,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,28,5691
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,28,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,29,6111
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,29,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,30,5892
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,30,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,31,5518
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,31,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,32,4157
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,32,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,33,5325
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,33,6502
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,34,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,34,9684
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,35,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,35,7584
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,36,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,36,18189
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,37,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,37,7056
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,38,6307
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,38,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,39,5467
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,39,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,40,4157
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,40,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,41,5691
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,41,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,42,5009
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,42,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,43,5009
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,43,6502
Indigo,6E-711,Mumbai,Afternoon,one,Night,Bangalore,Economy,6,44,5009
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,44,6502
Indigo,6E-6051,Mumbai,Evening,one,Late_Night,Bangalore,Economy,6,45,2124
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13,45,6502
