airline,flight,source_city,departure_time,stops,arrival_time,class,duration,days_left,price
Air_India,AI-698,Hyderabad,Night,one,Early_Morning,Business,,2,44699
Air_India,AI-698,Hyderabad,Night,one,Morning,Business,,2,44699
Air_India,AI-525,Hyderabad,Early_Morning,one,Night,Business,,2,50882
Air_India,AI-541,Hyderabad,Evening,one,Night,Business,,2,57181
Air_India,AI-840,Hyderabad,Night,one,Morning,Business,,2,57181
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Business,,2,57181
Air_India,AI-541,Hyderabad,Evening,one,Morning,Business,,2,57181
Air_India,AI-541,Hyderabad,Evening,one,Afternoon,Business,,2,57181
Air_India,AI-840,Hyderabad,Night,one,Evening,Business,,2,57181
Air_India,AI-541,Hyderabad,Evening,one,Evening,Business,,2,57181
Vistara,UK-830,Hyderabad,Morning,one,Evening,Business,6,2,62314
Vistara,UK-880,Hyderabad,Afternoon,one,Night,Business,,2,62314
Vistara,UK-880,Hyderabad,Afternoon,one,Night,Business,,2,62314
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Business,,2,62314
Vistara,UK-830,Hyderabad,Morning,one,Night,Business,,2,62314
Vistara,UK-830,Hyderabad,Morning,one,Night,Business,,2,62314
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Business,,2,62314
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Business,,2,62314
Vistara,UK-880,Hyderabad,Afternoon,one,Morning,Business,,2,62314
Vistara,UK-830,Hyderabad,Morning,one,Morning,Business,,2,62314
Vistara,UK-860,Hyderabad,Early_Morning,one,Morning,Business,,2,62314
Air_India,AI-543,Hyderabad,Morning,one,Evening,Business,,2,62221
Air_India,AI-543,Hyderabad,Morning,one,Night,Business,,2,62221
Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Business,,2,62221
Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Business,,2,62221
Air_India,AI-543,Hyderabad,Morning,one,Morning,Business,,2,62221
Air_India,AI-543,Hyderabad,Morning,one,Afternoon,Business,,2,62221
