airline,flight,source_city,departure_time,stops,arrival_time,class,duration,days_left,price
SpiceJet,SG-8264,Kolkata,Night,zero,Late_Night,Economy,,1,6488
AirAsia,I5-582,Kolkata,Morning,one,Evening,Economy,,1,6353
AirAsia,I5-2473,Kolkata,Morning,one,Night,Economy,,1,6353
AirAsia,I5-1563,Kolkata,Evening,two_or_more,Afternoon,Economy,,1,6353
Indigo,6E-2009,Kolkata,Night,zero,Late_Night,Economy,,1,6489
GO_FIRST,G8-519,Kolkata,Evening,one,Morning,Economy,,1,6488
GO_FIRST,G8-519,Kolkata,Evening,one,Morning,Economy,,1,6488
AirAsia,I5-582,Kolkata,Morning,one,Afternoon,Economy,,1,6820
Indigo,6E-751,Kolkata,Afternoon,one,Evening,Economy,,1,6977
Indigo,6E-487,Kolkata,Morning,zero,Afternoon,Economy,,1,7119
Indigo,6E-224,Kolkata,Night,zero,Night,Economy,,1,7434
Indigo,6E-6513,Kolkata,Morning,one,Afternoon,Economy,,1,7466
Indigo,6E-7177,Kolkata,Morning,one,Night,Economy,,1,7466
AirAsia,I5-1563,Kolkata,Evening,two_or_more,Morning,Economy,,1,7466
AirAsia,I5-991,Kolkata,Evening,one,Morning,Economy,,1,7466
Air_India,AI-402,Kolkata,Morning,zero,Afternoon,Economy,,1,8169
Air_India,AI-768,Kolkata,Afternoon,zero,Evening,Economy,,1,8589
Indigo,6E-7234,Kolkata,Evening,one,Night,Economy,,1,8930
AirAsia,I5-588,Kolkata,Afternoon,one,Night,Economy,,1,8954
AirAsia,I5-991,Kolkata,Evening,one,Late_Night,Economy,,1,8954
Indigo,6E-854,Kolkata,Morning,zero,Morning,Economy,,1,9114
Indigo,6E-898,Kolkata,Evening,zero,Night,Economy,,1,9114
Indigo,6E-135,Kolkata,Afternoon,one,Night,Economy,,1,9419
Vistara,UK-706,Kolkata,Morning,zero,Afternoon,Economy,,1,10059
Vistara,UK-778,Kolkata,Afternoon,zero,Evening,Economy,,1,10059
Indigo,6E-6172,Kolkata,Night,one,Morning,Economy,,1,10395
Air_India,AI-721,Kolkata,Afternoon,one,Evening,Economy,,1,10522
Indigo,6E-715,Kolkata,Morning,one,Night,Economy,,1,11057
SpiceJet,SG-3229,Kolkata,Afternoon,one,Afternoon,Economy,,1,11108
SpiceJet,SG-337,Kolkata,Morning,one,Morning,Economy,,1,11187
Indigo,6E-715,Kolkata,Morning,one,Night,Economy,,1,11267
Indigo,6E-6488,Kolkata,Morning,one,Evening,Economy,,1,11372
Indigo,6E-6014,Kolkata,Morning,one,Evening,Economy,,1,11372
Indigo,6E-599,Kolkata,Morning,zero,Afternoon,Economy,,1,11424
Indigo,6E-394,Kolkata,Afternoon,one,Night,Economy,,1,11582
GO_FIRST,G8-102,Kolkata,Afternoon,zero,Evening,Economy,,1,11790
Indigo,6E-394,Kolkata,Afternoon,one,Night,Economy,,1,11792
Indigo,6E-404,Kolkata,Evening,zero,Night,Economy,,1,12159
AirAsia,I5-588,Kolkata,Afternoon,one,Late_Night,Economy,,1,13725
Air_India,AI-676,Kolkata,Morning,one,Evening,Economy,,1,13944
Air_India,AI-676,Kolkata,Morning,one,Evening,Economy,,1,13944
Air_India,AI-676,Kolkata,Morning,one,Night,Economy,,1,13944
Air_India,AI-676,Kolkata,Morning,one,Afternoon,Economy,,1,13944
Vistara,UK-772,Kolkata,Morning,one,Evening,Economy,,1,14469
Air_India,AI-676,Kolkata,Morning,one,Night,Economy,,1,14364
Air_India,AI-676,Kolkata,Morning,one,Morning,Economy,,1,14364
Vistara,UK-772,Kolkata,Morning,one,Morning,Economy,,1,15099
Indigo,6E-417,Kolkata,Afternoon,one,Night,Economy,,1,14789
Air_India,AI-773,Kolkata,Evening,one,Afternoon,Economy,,1,14889
Air_India,AI-773,Kolkata,Evening,one,Night,Economy,,1,14889
Air_India,AI-773,Kolkata,Evening,one,Night,Economy,28,1,14889
Vistara,UK-772,Kolkata,Morning,one,Morning,Economy,,1,15414
Vistara,UK-776,Kolkata,Evening,one,Evening,Economy,,1,15414
Vistara,UK-776,Kolkata,Evening,one,Night,Economy,,1,15414
Vistara,UK-772,Kolkata,Morning,one,Afternoon,Economy,,1,15414
Vistara,UK-776,Kolkata,Evening,one,Night,Economy,,1,15414
Indigo,6E-6339,Kolkata,Morning,one,Evening,Economy,,1,15278
Air_India,AI-773,Kolkata,Evening,one,Night,Economy,,1,15309
Air_India,AI-773,Kolkata,Evening,one,Morning,Economy,17,1,15309
Air_India,AI-773,Kolkata,Evening,one,Evening,Economy,,1,15309
Indigo,6E-994,Kolkata,Afternoon,one,Night,Economy,5,1,15362
AirAsia,I5-2473,Kolkata,Morning,one,Late_Night,Economy,,1,15414
Vistara,UK-772,Kolkata,Morning,one,Evening,Economy,,1,15939
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,,1,15939
Vistara,UK-776,Kolkata,Evening,one,Morning,Economy,,1,16149
Vistara,UK-776,Kolkata,Evening,one,Afternoon,Economy,,1,16464
Vistara,UK-776,Kolkata,Evening,one,Afternoon,Economy,,1,16989
Vistara,UK-776,Kolkata,Evening,one,Afternoon,Economy,,1,16989
Vistara,UK-776,Kolkata,Evening,one,Evening,Economy,,1,16989
SpiceJet,SG-4027,Kolkata,Morning,one,Evening,Economy,,1,18038
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,,1,19201
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,,1,19201
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,36,1,19201
Indigo,6E-6021,Kolkata,Afternoon,one,Night,Economy,,1,19037
Vistara,UK-774,Kolkata,Night,one,Evening,Economy,,1,19404
Vistara,UK-774,Kolkata,Night,one,Night,Economy,,1,19404
Indigo,6E-6021,Kolkata,Afternoon,one,Evening,Economy,6,1,19457
Vistara,UK-774,Kolkata,Night,one,Morning,Economy,,1,20139
Vistara,UK-774,Kolkata,Night,one,Morning,Economy,,1,20454
Vistara,UK-774,Kolkata,Night,one,Afternoon,Economy,,1,20454
Vistara,UK-776,Kolkata,Evening,one,Night,Economy,,1,20808
Vistara,UK-776,Kolkata,Evening,one,Night,Economy,28,1,20808
Vistara,UK-776,Kolkata,Evening,one,Night,Economy,,1,20808
Vistara,UK-774,Kolkata,Night,one,Afternoon,Economy,,1,20979
Vistara,UK-774,Kolkata,Night,one,Afternoon,Economy,,1,20979
Vistara,UK-774,Kolkata,Night,one,Evening,Economy,,1,20979
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,,1,21189
Vistara,UK-772,Kolkata,Morning,one,Afternoon,Economy,,1,22112
Vistara,UK-772,Kolkata,Morning,one,Evening,Economy,,1,22112
SpiceJet,SG-4031,Kolkata,Evening,one,Evening,Economy,,1,22327
Vistara,UK-776,Kolkata,Evening,one,Afternoon,Economy,,1,22960
Air_India,AI-765,Kolkata,Evening,one,Afternoon,Economy,,1,23394
Air_India,AI-765,Kolkata,Evening,one,Evening,Economy,,1,23394
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,,1,24129
Air_India,AI-765,Kolkata,Evening,one,Morning,Economy,,1,24969
Indigo,6E-6785,Kolkata,Morning,one,Afternoon,Economy,,1,28382
Indigo,6E-634,Kolkata,Morning,one,Night,Economy,,1,29694
Indigo,6E-6749,Kolkata,Morning,one,Evening,Economy,,1,30786
Vistara,UK-774,Kolkata,Night,one,Afternoon,Economy,,1,33159
AirAsia,I5-582,Kolkata,Morning,one,Evening,Economy,,2,6353
GO_FIRST,G8-227,Kolkata,Early_Morning,zero,Morning,Economy,,2,6488
SpiceJet,SG-8264,Kolkata,Night,zero,Late_Night,Economy,,2,6488
SpiceJet,SG-8130,Kolkata,Early_Morning,zero,Morning,Economy,,2,6488
Air_India,AI-763,Kolkata,Early_Morning,zero,Morning,Economy,,2,6489
Air_India,AI-770,Kolkata,Night,zero,Night,Economy,,2,6489
SpiceJet,SG-9911,Kolkata,Morning,one,Evening,Economy,,2,6488
GO_FIRST,G8-512,Kolkata,Morning,one,Night,Economy,,2,6488
GO_FIRST,G8-512,Kolkata,Morning,one,Night,Economy,,2,6488
Indigo,6E-6214,Kolkata,Morning,one,Evening,Economy,,2,6489
Indigo,6E-7177,Kolkata,Morning,one,Night,Economy,,2,6489
SpiceJet,SG-3229,Kolkata,Afternoon,one,Afternoon,Economy,,2,6594
Indigo,6E-6344,Kolkata,Afternoon,one,Night,Economy,,2,6977
Indigo,6E-6324,Kolkata,Early_Morning,zero,Morning,Economy,,2,7119
Vistara,UK-738,Kolkata,Evening,zero,Night,Economy,,2,7539
Indigo,6E-895,Kolkata,Evening,one,Night,Economy,,2,7466
AirAsia,I5-547,Kolkata,Evening,zero,Night,Economy,,2,7617
GO_FIRST,G8-102,Kolkata,Afternoon,zero,Evening,Economy,,2,7644
AirAsia,I5-552,Kolkata,Early_Morning,zero,Morning,Economy,,2,7934
Air_India,AI-402,Kolkata,Morning,zero,Afternoon,Economy,,2,8169
Air_India,AI-768,Kolkata,Afternoon,zero,Evening,Economy,,2,8169
Indigo,6E-6488,Kolkata,Morning,one,Evening,Economy,,2,8442
Indigo,6E-139,Kolkata,Early_Morning,one,Afternoon,Economy,,2,8442
Indigo,6E-994,Kolkata,Afternoon,one,Night,Economy,5,2,8930
Indigo,6E-7234,Kolkata,Evening,one,Night,Economy,,2,8930
AirAsia,I5-1563,Kolkata,Evening,two_or_more,Morning,Economy,,2,8954
AirAsia,I5-1563,Kolkata,Evening,two_or_more,Afternoon,Economy,,2,8954
Indigo,6E-751,Kolkata,Afternoon,one,Evening,Economy,,2,9419
Indigo,6E-566,Kolkata,Night,one,Morning,Economy,,2,9419
Indigo,6E-404,Kolkata,Evening,zero,Night,Economy,,2,10164
Indigo,6E-135,Kolkata,Morning,one,Evening,Economy,,2,10395
Indigo,6E-6014,Kolkata,Morning,one,Evening,Economy,,2,10395
Indigo,6E-895,Kolkata,Evening,one,Night,Economy,,2,11372
Air_India,AI-9745,Kolkata,Morning,one,Night,Economy,,2,11372
SpiceJet,SG-3281,Kolkata,Afternoon,one,Evening,Economy,,2,11633
Vistara,UK-720,Kolkata,Early_Morning,zero,Morning,Economy,,2,12054
Indigo,6E-394,Kolkata,Afternoon,one,Night,Economy,,2,11860
Indigo,6E-7561,Kolkata,Early_Morning,one,Afternoon,Economy,,2,11860
Indigo,6E-135,Kolkata,Morning,one,Evening,Economy,,2,11912
Indigo,6E-6344,Kolkata,Afternoon,one,Night,Economy,,2,12348
Indigo,6E-282,Kolkata,Afternoon,two_or_more,Night,Economy,,2,12836
Indigo,6E-599,Kolkata,Morning,zero,Afternoon,Economy,,2,12894
Vistara,UK-778,Kolkata,Afternoon,zero,Evening,Economy,,2,13314
Vistara,UK-772,Kolkata,Morning,one,Evening,Economy,,2,13524
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,,2,13524
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,,2,13524
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,,2,13524
Vistara,UK-772,Kolkata,Morning,one,Morning,Economy,,2,13524
Vistara,UK-772,Kolkata,Morning,one,Morning,Economy,,2,13524
Vistara,UK-772,Kolkata,Morning,one,Afternoon,Economy,,2,13524
Vistara,UK-772,Kolkata,Morning,one,Afternoon,Economy,,2,13629
Air_India,AI-676,Kolkata,Morning,one,Night,Economy,,2,13524
Air_India,AI-676,Kolkata,Morning,one,Night,Economy,,2,13524
Air_India,AI-676,Kolkata,Morning,one,Night,Economy,,2,13524
Air_India,AI-676,Kolkata,Morning,one,Morning,Economy,,2,13524
Air_India,AI-676,Kolkata,Morning,one,Morning,Economy,,2,13524
Air_India,AI-676,Kolkata,Morning,one,Afternoon,Economy,,2,13524
Vistara,UK-772,Kolkata,Morning,one,Afternoon,Economy,,2,13944
AirAsia,I5-582,Kolkata,Morning,one,Afternoon,Economy,,2,13725
AirAsia,I5-319,Kolkata,Afternoon,two_or_more,Late_Night,Economy,,2,13725
Air_India,AI-676,Kolkata,Morning,one,Evening,Economy,,2,13944
Indigo,6E-7583,Kolkata,Afternoon,one,Night,Economy,,2,14301
Indigo,6E-512,Kolkata,Afternoon,one,Night,Economy,8,2,14301
Vistara,UK-772,Kolkata,Morning,one,Evening,Economy,,2,15099
SpiceJet,SG-4025,Kolkata,Early_Morning,one,Evening,Economy,,2,14767
Indigo,6E-261,Kolkata,Afternoon,one,Evening,Economy,,2,15099
Indigo,6E-961,Kolkata,Night,one,Early_Morning,Economy,10,2,16412
Air_India,AI-773,Kolkata,Evening,one,Night,Economy,,2,16569
Air_India,AI-773,Kolkata,Evening,one,Morning,Economy,17,2,16569
Air_India,AI-773,Kolkata,Evening,one,Morning,Economy,,2,16569
Air_India,AI-773,Kolkata,Evening,one,Afternoon,Economy,19,2,16569
Air_India,AI-773,Kolkata,Evening,one,Evening,Economy,25,2,16569
Air_India,AI-773,Kolkata,Evening,one,Night,Economy,,2,16569
Air_India,AI-773,Kolkata,Evening,one,Night,Economy,28,2,16569
SpiceJet,SG-4027,Kolkata,Morning,one,Evening,Economy,,2,16884
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,,2,17922
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,,2,17996
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,,2,17996
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,36,2,17996
Air_India,AI-787,Kolkata,Early_Morning,one,Afternoon,Economy,9,2,17977
Indigo,6E-6021,Kolkata,Afternoon,one,Evening,Economy,6,2,18407
Indigo,6E-6021,Kolkata,Afternoon,one,Night,Economy,,2,18407
SpiceJet,SG-3839,Kolkata,Evening,one,Morning,Economy,,2,18566
SpiceJet,SG-337,Kolkata,Afternoon,one,Morning,Economy,,2,18747
Vistara,UK-772,Kolkata,Morning,one,Morning,Economy,,2,19917
Vistara,UK-772,Kolkata,Morning,one,Afternoon,Economy,,2,19917
Vistara,UK-772,Kolkata,Morning,one,Evening,Economy,,2,19917
SpiceJet,SG-4031,Kolkata,Evening,one,Evening,Economy,,2,19807
Indigo,6E-496,Kolkata,Early_Morning,one,Evening,Economy,,2,19982
Vistara,UK-772,Kolkata,Morning,one,Afternoon,Economy,,2,20862
Air_India,AI-765,Kolkata,Evening,one,Morning,Economy,,2,20979
Indigo,6E-417,Kolkata,Afternoon,one,Night,Economy,,2,21557
Air_India,AI-765,Kolkata,Evening,one,Afternoon,Economy,,2,22239
Vistara,UK-776,Kolkata,Evening,one,Morning,Economy,,2,22869
Vistara,UK-776,Kolkata,Evening,one,Morning,Economy,,2,22869
Vistara,UK-776,Kolkata,Evening,one,Afternoon,Economy,,2,22869
Vistara,UK-776,Kolkata,Evening,one,Evening,Economy,,2,22869
Vistara,UK-776,Kolkata,Evening,one,Night,Economy,,2,22869
Vistara,UK-776,Kolkata,Evening,one,Afternoon,Economy,,2,22974
Vistara,UK-776,Kolkata,Evening,one,Afternoon,Economy,,2,23289
Air_India,AI-573,Kolkata,Evening,one,Morning,Economy,,2,23289
Air_India,AI-573,Kolkata,Evening,one,Night,Economy,,2,23289
Vistara,UK-776,Kolkata,Evening,one,Evening,Economy,,2,24444
Vistara,UK-772,Kolkata,Morning,one,Afternoon,Economy,,2,24501
Indigo,6E-6623,Kolkata,Early_Morning,one,Afternoon,Economy,,2,24759
Vistara,UK-772,Kolkata,Morning,one,Night,Economy,,2,25284
Indigo,6E-6749,Kolkata,Morning,one,Evening,Economy,,2,27752
Air_India,AI-573,Kolkata,Evening,one,Afternoon,Economy,,2,30744
Air_India,AI-573,Kolkata,Evening,one,Afternoon,Economy,,2,30744
Vistara,UK-776,Kolkata,Evening,one,Afternoon,Economy,,2,34944
AirAsia,I5-319,Kolkata,Afternoon,two_or_more,Late_Night,Economy,,4,5954
SpiceJet,SG-1077,Kolkata,Night,zero,Night,Economy,,4,6488
SpiceJet,SG-8264,Kolkata,Night,zero,Late_Night,Economy,,4,6488
Vistara,UK-738,Kolkata,Evening,zero,Night,Economy,,4,6489
AirAsia,I5-582,Kolkata,Morning,one,Afternoon,Economy,,4,6353
AirAsia,I5-582,Kolkata,Morning,one,Evening,Economy,,4,6353
AirAsia,I5-2473,Kolkata,Morning,one,Night,Economy,,4,6353
SpiceJet,SG-8130,Kolkata,Early_Morning,zero,Morning,Economy,,4,6488
Indigo,6E-2474,Kolkata,Early_Morning,zero,Early_Morning,Economy,,4,6489
Indigo,6E-224,Kolkata,Night,zero,Night,Economy,,4,6489
