airline,flight,source_city,departure_time,stops,arrival_time,class,duration,days_left,price
Indigo,6E-5208,Mumbai,Evening,zero,Evening,Economy,,1,4841
Indigo,6E-5217,Mumbai,Evening,zero,Evening,Economy,,1,4946
Vistara,UK-875,Mumbai,Evening,zero,Night,Economy,,1,5996
Indigo,6E-5371,Mumbai,Evening,zero,Night,Economy,,1,5891
Indigo,6E-354,Mumbai,Afternoon,zero,Afternoon,Economy,,1,6468
Air_India,AI-867,Mumbai,Night,one,Morning,Economy,13,1,7584
Air_India,AI-867,Mumbai,Night,one,Morning,Economy,,1,7584
Air_India,AI-888,Mumbai,Evening,one,Morning,Economy,,1,7584
Air_India,AI-660,Mumbai,Evening,one,Morning,Economy,,1,7584
Air_India,AI-888,Mumbai,Evening,one,Morning,Economy,,1,7584
Air_India,AI-660,Mumbai,Evening,one,Morning,Economy,,1,7584
Air_India,AI-442,Mumbai,Afternoon,one,Morning,Economy,,1,7584
Air_India,AI-442,Mumbai,Afternoon,one,Morning,Economy,,1,7584
Air_India,AI-867,Mumbai,Night,one,Night,Economy,,1,7584
Indigo,6E-5312,Mumbai,Morning,zero,Afternoon,Economy,,1,7886
Air_India,AI-867,Mumbai,Night,one,Evening,Economy,,1,8508
Air_India,AI-888,Mumbai,Evening,one,Evening,Economy,,1,8508
Air_India,AI-660,Mumbai,Evening,one,Evening,Economy,,1,8508
Air_India,AI-442,Mumbai,Afternoon,one,Evening,Economy,,1,8508
Air_India,AI-639,Mumbai,Morning,one,Early_Morning,Economy,,1,8988
Air_India,AI-867,Mumbai,Night,one,Evening,Economy,,1,10724
Air_India,AI-888,Mumbai,Evening,one,Evening,Economy,24,1,10724
Air_India,AI-660,Mumbai,Evening,one,Evening,Economy,,1,10724
Air_India,AI-442,Mumbai,Afternoon,one,Evening,Economy,,1,10724
Vistara,UK-910,Mumbai,Evening,one,Afternoon,Economy,19,1,11129
Vistara,UK-958,Mumbai,Afternoon,one,Afternoon,Economy,,1,11129
Vistara,UK-960,Mumbai,Morning,one,Afternoon,Economy,,1,11129
Vistara,UK-940,Mumbai,Evening,one,Morning,Economy,,1,11664
Vistara,UK-910,Mumbai,Evening,one,Morning,Economy,,1,11664
Vistara,UK-940,Mumbai,Evening,one,Afternoon,Economy,,1,11664
Vistara,UK-958,Mumbai,Afternoon,one,Morning,Economy,,1,11664
Vistara,UK-940,Mumbai,Evening,one,Evening,Economy,,1,11664
Vistara,UK-960,Mumbai,Morning,one,Morning,Economy,,1,11664
Vistara,UK-910,Mumbai,Evening,one,Evening,Economy,,1,11664
Vistara,UK-940,Mumbai,Evening,one,Night,Economy,,1,11664
Air_India,AI-631,Mumbai,Evening,two_or_more,Night,Economy,,1,11617
Indigo,6E-5209,Mumbai,Early_Morning,zero,Early_Morning,Economy,,1,11823
Indigo,6E-5359,Mumbai,Early_Morning,zero,Morning,Economy,,1,11823
Vistara,UK-944,Mumbai,Afternoon,one,Morning,Economy,19,1,12557
Vistara,UK-944,Mumbai,Afternoon,one,Afternoon,Economy,,1,12557
Vistara,UK-944,Mumbai,Afternoon,one,Evening,Economy,,1,12557
Air_India,AI-631,Mumbai,Evening,two_or_more,Evening,Economy,24,1,12541
Air_India,AI-660,Mumbai,Evening,one,Early_Morning,Economy,,1,13086
Air_India,AI-442,Mumbai,Afternoon,one,Early_Morning,Economy,,1,13086
Air_India,AI-867,Mumbai,Night,one,Evening,Economy,,1,13687
Air_India,AI-888,Mumbai,Evening,one,Evening,Economy,,1,13687
Air_India,AI-660,Mumbai,Evening,one,Evening,Economy,,1,13687
Air_India,AI-442,Mumbai,Afternoon,one,Evening,Economy,26,1,13687
Vistara,UK-910,Mumbai,Evening,one,Night,Economy,,1,15183
Vistara,UK-940,Mumbai,Evening,one,Evening,Economy,,1,15183
Vistara,UK-958,Mumbai,Afternoon,one,Night,Economy,,1,15498
Vistara,UK-960,Mumbai,Morning,one,Night,Economy,11,1,15498
Vistara,UK-996,Mumbai,Evening,one,Afternoon,Economy,,1,15918
Indigo,6E-6809,Mumbai,Evening,one,Night,Economy,,1,15708
Indigo,6E-6809,Mumbai,Evening,one,Late_Night,Economy,,1,15708
Vistara,UK-996,Mumbai,Evening,one,Morning,Economy,,1,16233
Vistara,UK-996,Mumbai,Evening,one,Evening,Economy,,1,16233
Vistara,UK-944,Mumbai,Afternoon,one,Night,Economy,,1,16653
Air_India,AI-669,Mumbai,Morning,one,Afternoon,Economy,,1,16443
Air_India,AI-639,Mumbai,Morning,one,Night,Economy,,1,16653
Vistara,UK-996,Mumbai,Evening,one,Evening,Economy,,1,17283
Vistara,UK-863,Mumbai,Morning,two_or_more,Night,Economy,,1,17985
Vistara,UK-988,Mumbai,Night,one,Afternoon,Economy,,1,19068
Vistara,UK-988,Mumbai,Night,one,Morning,Economy,,1,19383
Vistara,UK-988,Mumbai,Night,one,Evening,Economy,,1,19383
Air_India,AI-442,Mumbai,Afternoon,one,Night,Economy,8,1,19698
Vistara,UK-988,Mumbai,Night,one,Evening,Economy,23,1,20433
Vistara,UK-994,Mumbai,Morning,one,Evening,Economy,,1,24108
Vistara,UK-613,Mumbai,Afternoon,two_or_more,Night,Economy,,1,24213
Vistara,UK-994,Mumbai,Morning,one,Night,Economy,,1,24843
Vistara,UK-852,Mumbai,Afternoon,two_or_more,Night,Economy,,1,25096
Indigo,6E-932,Mumbai,Morning,one,Evening,Economy,,1,25683
Vistara,UK-875,Mumbai,Evening,zero,Night,Economy,,2,4263
Indigo,6E-5208,Mumbai,Evening,zero,Evening,Economy,,2,4263
Indigo,6E-5371,Mumbai,Evening,zero,Night,Economy,,2,4263
Air_India,AI-619,Mumbai,Night,zero,Night,Economy,,2,4263
Indigo,6E-5312,Mumbai,Morning,zero,Afternoon,Economy,,2,5208
Indigo,6E-5217,Mumbai,Evening,zero,Evening,Economy,,2,5208
Indigo,6E-5209,Mumbai,Early_Morning,zero,Early_Morning,Economy,,2,6731
Air_India,AI-639,Mumbai,Morning,one,Evening,Economy,,2,6941
Air_India,AI-660,Mumbai,Evening,one,Night,Economy,,2,7584
Air_India,AI-442,Mumbai,Afternoon,one,Night,Economy,8,2,7584
Air_India,AI-809,Mumbai,Morning,one,Night,Economy,13,2,7584
Air_India,AI-867,Mumbai,Night,one,Morning,Economy,13,2,7584
Air_India,AI-867,Mumbai,Night,one,Morning,Economy,,2,7584
Air_India,AI-888,Mumbai,Evening,one,Morning,Economy,,2,7584
Air_India,AI-806,Mumbai,Early_Morning,one,Night,Economy,,2,7584
Air_India,AI-660,Mumbai,Evening,one,Morning,Economy,,2,7584
Air_India,AI-888,Mumbai,Evening,one,Morning,Economy,,2,7584
Air_India,AI-660,Mumbai,Evening,one,Morning,Economy,,2,7584
Air_India,AI-442,Mumbai,Afternoon,one,Morning,Economy,,2,7584
Air_India,AI-442,Mumbai,Afternoon,one,Morning,Economy,,2,7584
Air_India,AI-867,Mumbai,Night,one,Evening,Economy,,2,7584
Air_India,AI-809,Mumbai,Morning,one,Morning,Economy,,2,7584
Air_India,AI-888,Mumbai,Evening,one,Evening,Economy,,2,7584
Air_India,AI-809,Mumbai,Morning,one,Morning,Economy,,2,7584
Air_India,AI-660,Mumbai,Evening,one,Evening,Economy,,2,7584
Air_India,AI-867,Mumbai,Night,one,Night,Economy,,2,7584
Air_India,AI-806,Mumbai,Early_Morning,one,Morning,Economy,,2,7584
Air_India,AI-442,Mumbai,Afternoon,one,Evening,Economy,,2,7584
Air_India,AI-806,Mumbai,Early_Morning,one,Morning,Economy,,2,7584
Air_India,AI-683,Mumbai,Night,one,Night,Economy,,2,7676
Indigo,6E-354,Mumbai,Afternoon,zero,Afternoon,Economy,,2,7886
Air_India,AI-683,Mumbai,Night,one,Afternoon,Economy,,2,8148
