airline,flight,source_city,departure_time,stops,arrival_time,class,duration,days_left,price
GO_FIRST,G8-101,Delhi,Early_Morning,zero,Early_Morning,Economy,,1,5954
GO_FIRST,G8-103,Delhi,Evening,zero,Night,Economy,,1,5954
Indigo,6E-353,Delhi,Early_Morning,zero,Morning,Economy,,1,5955
Indigo,6E-483,Delhi,Early_Morning,zero,Morning,Economy,,1,5955
GO_FIRST,G8-392,Delhi,Afternoon,one,Early_Morning,Economy,16,1,5954
GO_FIRST,G8-336,Delhi,Afternoon,one,Early_Morning,Economy,,1,5954
Indigo,6E-181,Delhi,Early_Morning,one,Morning,Economy,,1,5955
Indigo,6E-5014,Delhi,Afternoon,one,Night,Economy,,1,5955
AirAsia,I5-548,Delhi,Early_Morning,zero,Early_Morning,Economy,,1,6060
Indigo,6E-2106,Delhi,Late_Night,zero,Early_Morning,Economy,,1,6270
SpiceJet,SG-8253,Delhi,Night,zero,Night,Economy,,1,6270
Vistara,UK-747,Delhi,Early_Morning,zero,Morning,Economy,,1,6690
Air_India,AI-764,Delhi,Evening,zero,Evening,Economy,,1,6375
Vistara,UK-737,Delhi,Afternoon,zero,Evening,Economy,,1,7005
Indigo,6E-912,Delhi,Evening,zero,Evening,Economy,,1,6900
Indigo,6E-2057,Delhi,Evening,zero,Night,Economy,,1,6900
Indigo,6E-6238,Delhi,Morning,one,Evening,Economy,,1,6932
Indigo,6E-2485,Delhi,Afternoon,one,Night,Economy,,1,6932
Air_India,AI-762,Delhi,Night,zero,Night,Economy,,1,7215
Indigo,6E-6271,Delhi,Night,zero,Night,Economy,,1,7530
Indigo,6E-2513,Delhi,Morning,zero,Morning,Economy,,1,8055
Indigo,6E-2485,Delhi,Afternoon,one,Evening,Economy,,1,8885
Indigo,6E-755,Delhi,Afternoon,zero,Evening,Economy,,1,9105
Vistara,UK-705,Delhi,Early_Morning,zero,Morning,Economy,,1,9525
Indigo,6E-2615,Delhi,Morning,one,Evening,Economy,,1,9861
Indigo,6E-397,Delhi,Afternoon,one,Evening,Economy,,1,9945
Air_India,AI-415,Delhi,Evening,one,Evening,Economy,,1,10081
SpiceJet,SG-8903,Delhi,Morning,one,Afternoon,Economy,,1,10784
Indigo,6E-282,Delhi,Morning,zero,Afternoon,Economy,,1,10890
Vistara,UK-707,Delhi,Evening,zero,Evening,Economy,,1,11520
Air_India,AI-401,Delhi,Early_Morning,zero,Morning,Economy,,1,11310
Air_India,AI-767,Delhi,Afternoon,zero,Afternoon,Economy,,1,11310
SpiceJet,SG-8187,Delhi,Afternoon,one,Afternoon,Economy,,1,11624
Vistara,UK-641,Delhi,Afternoon,one,Morning,Economy,,1,11993
Indigo,6E-6195,Delhi,Afternoon,one,Night,Economy,,1,11678
GO_FIRST,G8-153,Delhi,Morning,one,Afternoon,Economy,,1,11834
AirAsia,I5-1529,Delhi,Morning,one,Evening,Economy,,1,12046
Air_India,AI-891,Delhi,Evening,one,Evening,Economy,,1,12150
Air_India,AI-891,Delhi,Evening,one,Evening,Economy,,1,12150
Indigo,6E-2178,Delhi,Early_Morning,one,Afternoon,Economy,,1,12302
Air_India,AI-504,Delhi,Night,one,Evening,Economy,20,1,12465
Air_India,AI-542,Delhi,Morning,one,Morning,Economy,,1,12465
Air_India,AI-502,Delhi,Afternoon,one,Evening,Economy,,1,12465
Vistara,UK-963,Delhi,Morning,one,Morning,Economy,,1,12990
Vistara,UK-951,Delhi,Afternoon,one,Morning,Economy,,1,13095
Vistara,UK-945,Delhi,Morning,one,Morning,Economy,22,1,13095
Vistara,UK-995,Delhi,Morning,one,Morning,Economy,,1,13095
Air_India,AI-540,Delhi,Night,one,Afternoon,Economy,,1,12780
Air_India,AI-429,Delhi,Morning,one,Afternoon,Economy,,1,12780
GO_FIRST,G8-323,Delhi,Evening,one,Early_Morning,Economy,,1,12854
GO_FIRST,G8-275,Delhi,Evening,one,Early_Morning,Economy,,1,12884
Indigo,6E-2032,Delhi,Evening,one,Late_Night,Economy,,1,12885
Air_India,AI-441,Delhi,Evening,one,Morning,Economy,15,1,12990
Air_India,AI-665,Delhi,Early_Morning,one,Morning,Economy,,1,12990
Air_India,AI-887,Delhi,Early_Morning,one,Morning,Economy,,1,12990
Air_India,AI-441,Delhi,Evening,one,Night,Economy,,1,12990
Indigo,6E-2181,Delhi,Morning,one,Afternoon,Economy,,1,13279
Air_India,AI-483,Delhi,Evening,one,Night,Economy,,1,13318
Vistara,UK-927,Delhi,Morning,one,Morning,Economy,,1,13725
Air_India,AI-453,Delhi,Early_Morning,two_or_more,Morning,Economy,,1,13688
Indigo,6E-6278,Delhi,Morning,one,Afternoon,Economy,,1,13767
Indigo,6E-6971,Delhi,Morning,one,Evening,Economy,,1,13767
Air_India,AI-479,Delhi,Night,two_or_more,Night,Economy,,1,14003
Indigo,6E-5031,Delhi,Early_Morning,one,Afternoon,Economy,,1,14198
Indigo,6E-2338,Delhi,Afternoon,one,Night,Economy,,1,14198
Indigo,6E-5031,Delhi,Early_Morning,one,Evening,Economy,,1,14198
Vistara,UK-933,Delhi,Afternoon,one,Morning,Economy,,1,14565
Indigo,6E-2247,Delhi,Morning,one,Evening,Economy,,1,14255
Air_India,AI-891,Delhi,Evening,one,Evening,Economy,,1,14503
Indigo,6E-6205,Delhi,Afternoon,one,Evening,Economy,,1,14744
Indigo,6E-6202,Delhi,Morning,one,Evening,Economy,8,1,14985
Air_India,AI-537,Delhi,Evening,one,Afternoon,Economy,,1,14985
GO_FIRST,G8-392,Delhi,Afternoon,one,Night,Economy,,1,15006
GO_FIRST,G8-336,Delhi,Afternoon,one,Night,Economy,,1,15006
GO_FIRST,G8-338,Delhi,Morning,one,Night,Economy,,1,15006
GO_FIRST,G8-334,Delhi,Early_Morning,one,Night,Economy,,1,15006
Vistara,UK-963,Delhi,Morning,one,Evening,Economy,,1,15615
Vistara,UK-951,Delhi,Afternoon,one,Evening,Economy,,1,15720
Vistara,UK-945,Delhi,Morning,one,Evening,Economy,,1,15720
Vistara,UK-995,Delhi,Morning,one,Evening,Economy,,1,15720
Indigo,6E-5001,Delhi,Early_Morning,one,Afternoon,Economy,,1,15720
Vistara,UK-927,Delhi,Morning,one,Evening,Economy,,1,16350
Air_India,AI-485,Delhi,Early_Morning,one,Morning,Economy,,1,16393
Indigo,6E-2005,Delhi,Morning,one,Evening,Economy,,1,16613
SpiceJet,SG-8903,Delhi,Morning,one,Evening,Economy,8,1,17504
Air_India,AI-879,Delhi,Morning,one,Evening,Economy,,1,18073
Vistara,UK-963,Delhi,Morning,one,Evening,Economy,,1,18870
Vistara,UK-995,Delhi,Morning,one,Evening,Economy,,1,18975
Air_India,AI-839,Delhi,Night,one,Morning,Economy,,1,19080
Vistara,UK-927,Delhi,Morning,one,Evening,Economy,,1,19605
SpiceJet,SG-2976,Delhi,Evening,one,Evening,Economy,,1,19263
Vistara,UK-955,Delhi,Evening,one,Morning,Economy,,1,19815
Air_India,AI-469,Delhi,Early_Morning,one,Night,Economy,,1,19565
Indigo,6E-5073,Delhi,Morning,one,Afternoon,Economy,,1,20183
AirAsia,I5-1529,Delhi,Morning,one,Late_Night,Economy,16,1,21207
AirAsia,I5-747,Delhi,Evening,one,Late_Night,Economy,,1,21416
AirAsia,I5-784,Delhi,Evening,one,Late_Night,Economy,,1,21416
GO_FIRST,G8-717,Delhi,Evening,one,Morning,Economy,16,1,21627
Vistara,UK-933,Delhi,Afternoon,one,Evening,Economy,,1,22020
Vistara,UK-985,Delhi,Evening,one,Morning,Economy,,1,22755
Vistara,UK-817,Delhi,Evening,two_or_more,Morning,Economy,,1,25958
Vistara,UK-819,Delhi,Afternoon,two_or_more,Morning,Economy,,1,25958
SpiceJet,SG-8152,Delhi,Morning,one,Morning,Economy,,1,25995
Vistara,UK-955,Delhi,Evening,one,Evening,Economy,,1,27270
SpiceJet,SG-8152,Delhi,Morning,one,Night,Economy,,1,26939
Indigo,6E-2089,Delhi,Morning,one,Evening,Economy,,1,27848
Vistara,UK-985,Delhi,Evening,one,Evening,Economy,,1,30210
Indigo,6E-2329,Delhi,Morning,one,Evening,Economy,,1,30000
Vistara,UK-737,Delhi,Afternoon,zero,Evening,Economy,,2,5955
GO_FIRST,G8-101,Delhi,Early_Morning,zero,Early_Morning,Economy,,2,5954
GO_FIRST,G8-103,Delhi,Evening,zero,Night,Economy,,2,5954
Indigo,6E-755,Delhi,Afternoon,zero,Evening,Economy,,2,5955
Air_India,AI-762,Delhi,Night,zero,Night,Economy,,2,5955
Air_India,AI-764,Delhi,Evening,zero,Evening,Economy,,2,5955
AirAsia,I5-711,Delhi,Early_Morning,one,Morning,Economy,,2,5953
AirAsia,I5-783,Delhi,Early_Morning,two_or_more,Afternoon,Economy,,2,5953
