airline,flight,source_city,departure_time,stops,arrival_time,class,duration,days_left,price
SpiceJet,SG-8709,Delhi,Evening,zero,Night,Economy,,1,5953
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Economy,,1,5953
AirAsia,I5-764,Delhi,Early_Morning,zero,Early_Morning,Economy,,1,5956
Vistara,UK-995,Delhi,Morning,zero,Afternoon,Economy,,1,5955
Vistara,UK-963,Delhi,Morning,zero,Morning,Economy,,1,5955
Vistara,UK-945,Delhi,Morning,zero,Afternoon,Economy,,1,5955
Vistara,UK-927,Delhi,Morning,zero,Morning,Economy,,1,6060
Vistara,UK-951,Delhi,Afternoon,zero,Evening,Economy,,1,6060
GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Economy,,1,5954
GO_FIRST,G8-336,Delhi,Afternoon,zero,Evening,Economy,,1,5954
GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Economy,,1,5954
GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Economy,,1,5954
Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Economy,,1,5955
Indigo,6E-6202,Delhi,Morning,zero,Afternoon,Economy,,1,5955
Indigo,6E-549,Delhi,Afternoon,zero,Evening,Economy,,1,5955
Indigo,6E-6278,Delhi,Morning,zero,Morning,Economy,,1,5955
Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Economy,,1,5955
Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Economy,,1,5955
AirAsia,I5-747,Delhi,Evening,one,Early_Morning,Economy,,1,5949
AirAsia,I5-747,Delhi,Evening,one,Morning,Economy,,1,5949
GO_FIRST,G8-266,Delhi,Early_Morning,one,Evening,Economy,,1,5954
GO_FIRST,G8-101,Delhi,Early_Morning,one,Night,Economy,,1,5954
GO_FIRST,G8-103,Delhi,Evening,one,Morning,Economy,,1,5954
Air_India,AI-441,Delhi,Evening,one,Night,Economy,,1,5955
Indigo,6E-5328,Delhi,Morning,zero,Morning,Economy,,1,6165
Vistara,UK-933,Delhi,Afternoon,zero,Evening,Economy,,1,6690
Indigo,6E-2046,Delhi,Evening,zero,Evening,Economy,,1,6585
AirAsia,I5-744,Delhi,Morning,one,Afternoon,Economy,,1,8869
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Economy,,1,10260
Indigo,6E-5041,Delhi,Evening,zero,Night,Economy,,1,10470
GO_FIRST,G8-165,Delhi,Early_Morning,one,Afternoon,Economy,8,1,10575
Indigo,6E-2373,Delhi,Afternoon,one,Evening,Economy,6,1,10838
Vistara,UK-813,Delhi,Evening,one,Morning,Economy,,1,12150
Vistara,UK-817,Delhi,Evening,one,Morning,Economy,,1,12150
Vistara,UK-819,Delhi,Afternoon,one,Morning,Economy,18,1,12150
Vistara,UK-801,Delhi,Morning,one,Morning,Economy,,1,12150
Vistara,UK-815,Delhi,Morning,one,Morning,Economy,,1,12150
Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Economy,,1,11900
SpiceJet,SG-2976,Delhi,Evening,one,Night,Economy,,1,12123
SpiceJet,SG-2976,Delhi,Evening,one,Morning,Economy,,1,12123
Air_India,AI-504,Delhi,Night,one,Morning,Economy,11,1,12150
Air_India,AI-502,Delhi,Afternoon,one,Morning,Economy,,1,12150
